"Year"	"BorX"	"BorY"	"Species"	"Cover"
"2015"	20	380	"asac"	1
"2015"	20	400	"drsp"	3
"2015"	20	400	"trer"	1
"2015"	20	400	"stro"	2
"2015"	20	400	"lylu"	2
"2015"	20	400	"sapu"	1
"2015"	20	400	"drno"	2
"2015"	40	260	"popu"	2
"2015"	20	400	"rupu"	1
"2015"	20	400	"oxmo"	1
"2015"	20	400	"maca"	1
"2015"	20	400	"clbo"	1
"2015"	20	400	"osci"	2
"2015"	20	420	"drsp"	3
"2015"	20	420	"stro"	2
"2015"	20	420	"vial"	4
"2015"	20	420	"clbo"	2
"2015"	20	420	"lylu"	2
"2015"	60	260	"popu"	1
"2015"	20	420	"trbo"	1
"2015"	20	420	"vevi"	1
"2015"	20	420	"soam"	1
"2015"	20	420	"asac"	1
"2015"	20	420	"oxmo"	1
"2015"	20	420	"thpu"	1
"2015"	20	440	"drsp"	2
"2015"	20	440	"vial"	3
"2015"	20	440	"lylu"	2
"2015"	20	440	"stro"	2
"2015"	20	440	"trer"	1
"2015"	120	260	"mara"	1
"2015"	20	440	"drno"	1
"2015"	20	460	"drsp"	3
"2015"	20	460	"vial"	4
"2015"	20	460	"maca"	1
"2015"	20	460	"trer"	1
"2015"	20	460	"stro"	2
"2015"	20	460	"violasp"	1
"2015"	20	460	"lylu"	2
"2015"	20	460	"clbo"	2
"2015"	20	460	"oxmo"	1
"2015"	20	480	"stro"	1
"2015"	20	480	"vial"	4
"2015"	20	480	"drsp"	3
"2015"	20	480	"trer"	1
"2015"	20	480	"lylu"	2
"2015"	20	480	"oxmo"	1
"2015"	20	480	"saca"	1
"2015"	20	480	"maca"	1
"2015"	20	480	"arnu"	2
"2015"	20	480	"asac"	1
"2015"	20	480	"clbo"	1
"2015"	20	500	"drph"	1
"2015"	20	500	"vial"	5
"2015"	20	500	"drsp"	3
"2015"	20	500	"lylu"	1
"2015"	20	500	"clbo"	2
"2015"	20	500	"oxmo"	2
"2015"	20	500	"trer"	1
"2015"	20	500	"tico"	1
"2015"	20	500	"asac"	1
"2015"	20	500	"maca"	1
"2015"	20	500	"stro"	1
"2015"	20	520	"clbo"	2
"2015"	20	520	"maca"	1
"2015"	20	520	"lylu"	3
"2015"	20	520	"vial"	5
"2015"	20	520	"trbo"	1
"2015"	20	520	"drsp"	3
"2015"	20	520	"oxmo"	1
"2015"	20	520	"stro"	2
"2015"	20	520	"arnu"	2
"2015"	20	540	"drsp"	2
"2015"	20	540	"arnu"	2
"2015"	20	540	"lylu"	3
"2015"	20	540	"vial"	3
"2015"	20	540	"trbo"	1
"2015"	20	540	"oxmo"	1
"2015"	20	540	"trun"	2
"2015"	20	540	"trer"	1
"2015"	20	540	"clbo"	2
"2015"	20	540	"stro"	1
"2015"	20	560	"maca"	2
"2015"	20	560	"clbo"	2
"2015"	20	560	"drsp"	3
"2015"	20	560	"vial"	3
"2015"	20	560	"lylu"	2
"2015"	20	560	"trbo"	1
"2015"	20	560	"trun"	1
"2015"	20	560	"arnu"	1
"2015"	20	560	"oxmo"	1
"2015"	20	560	"mevi"	1
"2015"	20	560	"trer"	1
